_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 Jun 2022 04:48:45 PM,13379,15436,NEW LISTINGS RELATED NOTICES,59,"LUMINEX LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES VIA 
OFFER FOR SUBSCRIPTION",createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Jun 2022 03:19:48 PM,13325,15363,NEW LISTINGS RELATED NOTICES,59,Luminex Limited - Interim Financial Statements for the quarter ended 31st March 2022,createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Jun 2022 03:23:57 PM,13251,15281,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES (FINAL FIGURES),createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Jun 2022 01:42:36 PM,13248,15277,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES (BASIS OF ALLOTMENT),createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 Jun 2022 11:08:18 AM,13083,15089,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED -INITIAL PUBLIC OFFERING - ISSUE OVERSUBSCRIBED,createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,01 Jun 2022 11:12:24 AM,13071,15076,NEW LISTINGS RELATED NOTICES,59,"LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)
",createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 May 2022 10:38:15 AM,13024,15023,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)	,createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 May 2022 03:17:08 PM,12998,14996,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED),createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 May 2022 11:19:24 AM,12994,14988,NEW LISTINGS RELATED NOTICES,59,CL SYNERGY LIMITED - WITHDRAWAL OF THE INITIAL PUBLIC OFFERING OF CL SYNERGY LIMITED,createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 May 2022 12:29:04 PM,12963,14947,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED),createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,26 May 2022 01:59:01 PM,12955,14939,NEW LISTINGS RELATED NOTICES,59,"
LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)",createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,25 May 2022 03:23:05 PM,12940,14923,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED),createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,25 May 2022 10:50:11 AM,12938,14921,NEW LISTINGS RELATED NOTICES,59,ALPHA FIRE SERVICES LIMITED (THE COMPANY) - INTRODUCTION,createdDate
2022,New Listings Announcements,2022-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 May 2022 12:32:42 PM,12929,14911,NEW LISTINGS RELATED NOTICES,59,LUMINEX LIMITED - INITIAL PUBLIC OFFERING - SUMMARY OF APPLICATIONS RECEIVED,createdDate
