_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 Dec 2023 03:16:36 PM,19239,22488,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED - INITIAL PUBLIC OFFERING,createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,21 Dec 2023 03:52:32 PM,19221,22451,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED - INITIAL PUBLIC OFFERING 2023 FINAL FIGURES,createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,14 Dec 2023 09:05:46 AM,19166,22378,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED – INITIAL PUBLIC OFFERING,createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Nov 2023 05:09:50 PM,18990,22149,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES,createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Aug 2023 05:24:43 PM,18024,20904,NEW LISTINGS RELATED NOTICES,59,"AGARAPATANA PLANTATIONS LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF 
ORDINARY VOTING SHARES",createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Aug 2023 06:01:49 PM,17915,20773,NEW LISTINGS RELATED NOTICES,59,"AGARAPATANA PLANTATIONS LIMITED (""COMPANY"") - BASIS OF ALLOTMENT",createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Aug 2023 12:30:06 PM,17898,20752,NEW LISTINGS RELATED NOTICES,59,AGARAPATANA PLATITATIONS LIMITED - INITIAL PUBLIC OFFERING 2023,createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,10 Aug 2023 01:17:56 PM,17807,20639,NEW LISTINGS RELATED NOTICES,59,AGARAPATANA PLANTATIONS LIMITED - INITIAL PUBLIC OFFERING,createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Aug 2023 04:54:39 PM,17799,20632,NEW LISTINGS RELATED NOTICES,59,"UB FINANCE COMPANY LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY 
VOTING SHARES",createdDate
2023,New Listings Announcements,2023-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 Aug 2023 03:36:51 PM,17706,20519,NEW LISTINGS RELATED NOTICES,59,UB Finance Company Limited - Initial Public Offering - Basis of Allotment ,createdDate
