_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2025,New Listings Announcements,2025-12-24 16:24:51,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Dec 2025 04:24:51 PM,29320,35020,NEW LISTINGS RELATED NOTICES,59,WEALTHTRUST SECURITIES LIMITED - EQUITY IPO 2025 - BASIS OF ALLOTMENT,createdDate
2025,New Listings Announcements,2025-12-24 09:50:23,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Dec 2025 09:50:23 AM,29299,34996,NEW LISTINGS RELATED NOTICES,59,WEALTHTRUST SECURITIES LIMITED – INITIAL PUBLIC OFFERING ,createdDate
2025,New Listings Announcements,2025-12-18 16:47:34,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Dec 2025 04:47:34 PM,29223,34916,NEW LISTINGS RELATED NOTICES,59,"ASSETLINE FINANCE LIMITED (“COMPANY”) – ISSUANCE OF 50,000,000 LISTED, RATED, UNSECURED, SENIOR, REDEEMABLE, 5-YEAR DEBENTURES
",createdDate
2025,New Listings Announcements,2025-12-18 16:46:30,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Dec 2025 04:46:30 PM,29222,34914,NEW LISTINGS RELATED NOTICES,59,"HATTON NATIONAL BANK PLC (“BANK”) – ISSUANCE OF 100,000,000 LISTED, RATED, UNSECURED, REDEEMABLE, SENIOR SUSTAINABLE BONDS",createdDate
2025,New Listings Announcements,2025-12-17 09:24:19,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,17 Dec 2025 09:24:19 AM,29201,34874,NEW LISTINGS RELATED NOTICES,59,WEALTHTRUST SECURITIES LIMITED – INITIAL PUBLIC OFFERING ,createdDate
2025,New Listings Announcements,2025-12-16 16:45:03,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Dec 2025 04:45:03 PM,29198,34872,NEW LISTINGS RELATED NOTICES,59,"LOLC FINANCE PLC (“COMPANY”) – ISSUANCE OF 150,000,000 LISTED, RATED, SENIOR, UNSECURED, REDEEMABLE FIVE-YEAR DEBENTURES 2025",createdDate
2025,New Listings Announcements,2025-12-15 15:13:38,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Dec 2025 03:13:38 PM,29176,34849,NEW LISTINGS RELATED NOTICES,59,"BANK OF CEYLON (“BANK”) – BASEL III COMPLIANT TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE 5-YEAR (2025/30) SUSTAINABILITY BONDS WITH NON-VIABILITY WRITE-DOWN FEATURES",createdDate
2025,New Listings Announcements,2025-12-12 12:21:36,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,12 Dec 2025 12:21:36 PM,29146,34805,NEW LISTINGS RELATED NOTICES,59,ASSETLINE FINANCE LIMITED-DEBENTURE ISSUE 2025-BASIS OF ALLOTMENT,createdDate
2025,New Listings Announcements,2025-12-12 12:20:33,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,12 Dec 2025 12:20:33 PM,29145,34804,NEW LISTINGS RELATED NOTICES,59,ASSETLINE FINANCE LIMITED-DEBENTURE ISSUE 2025-FINAL FIGURES,createdDate
2025,New Listings Announcements,2025-12-10 16:36:01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,10 Dec 2025 04:36:01 PM,29119,34771,NEW LISTINGS RELATED NOTICES,59,"CBC FINANCE LIMITED (“COMPANY”) – ISSUANCE OF 15,000,000 LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE, DEBENTURES",createdDate
2025,New Listings Announcements,2025-12-09 20:01:04,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Dec 2025 08:01:04 PM,29107,34754,NEW LISTINGS RELATED NOTICES,59,ASSETLINE FINANCE LIMITED-DEBENTURE ISSUE 2025,createdDate
2025,Buy-In Board Announcements,2025-12-08 13:57:21,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,08 Dec 2025 01:57:21 PM,29076,34707,BUY-IN BOARD DISCLOSURES,60,,createdDate
2025,New Listings Announcements,2025-12-05 13:54:44,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,05 Dec 2025 01:54:44 PM,29058,34680,NEW LISTINGS RELATED NOTICES,59,CBC FINANCE LTD - DEBT IPO 2025 - BASIS OF ALLOTMENT,createdDate
2025,New Listings Announcements,2025-12-03 09:55:04,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,03 Dec 2025 09:55:04 AM,29029,34645,NEW LISTINGS RELATED NOTICES,59,CBC FINANCE LTD - DEBT IPO 2025 - NUMBER OF APPLICATIONS,createdDate
