_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2021,New Listings Announcements,2021-12-31 20:34:20,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 Dec 2021 08:34:20 PM,11375,13132,NEW LISTINGS RELATED NOTICES,59,ERRATA TO THE HELA APPAREL HOLDINGS LIMITED PROSPECTUS DATED 28 DECEMBER 2021,createdDate
2021,Buy-In Board Announcements,2021-12-31 13:05:05,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 Dec 2021 01:05:05 PM,11349,13111,BUY-IN BOARD DISCLOSURES,60,,createdDate
2021,New Listings Announcements,2021-12-30 14:22:08,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Dec 2021 02:22:08 PM,11327,13080,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LIMITED-INTERIM FINANCIAL STATEMENTS AS AT 30TH SEPTEMBER 2021,createdDate
2021,New Listings Announcements,2021-12-30 13:21:55,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Dec 2021 01:21:55 PM,11326,13079,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LIMITED-INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES VIA OFFER FOR SALE,createdDate
2021,New Listings Announcements,2021-12-29 17:14:40,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 05:14:40 PM,11321,13072,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LIMITED (THE COMPANY) - INITIAL PUBLIC OFFERRING OF ORDINARY VOTING SHARES,createdDate
2021,New Listings Announcements,2021-12-29 17:13:59,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 05:13:59 PM,11320,13071,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS),createdDate
2021,New Listings Announcements,2021-12-29 16:36:26,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 04:36:26 PM,11317,13070,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LTD INITIAL PUBLIC OFFER,createdDate
2021,New Listings Announcements,2021-12-29 10:42:29,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 10:42:29 AM,11309,13057,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LTD IPO - BASIS OF ALLLOTMENT,createdDate
2021,New Listings Announcements,2021-12-28 16:46:48,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Dec 2021 04:46:48 PM,11306,13054,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LIMITED IPO,createdDate
2021,New Listings Announcements,2021-12-28 16:11:10,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Dec 2021 04:11:10 PM,11303,13052,NEW LISTINGS RELATED NOTICES,59,LOLC General Insurance IPO - Basis of Allocation,createdDate
