_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,companyName,logoUrl,_date_field,remarks
2024,Buy-In Board Announcements,2024-05-02 13:20:17,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 May 2024 01:20:17 PM,20526,24067,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2023,Buy-In Board Announcements,2023-05-24 13:06:07,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 May 2023 01:06:07 PM,16889,19528,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,New Listings Announcements,2022-05-31 10:38:15,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 May 2022 10:38:15 AM,13024,15023,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)	
2022,New Listings Announcements,2022-05-30 15:17:08,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 May 2022 03:17:08 PM,12998,14996,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)
2022,Buy-In Board Announcements,2022-05-30 11:41:23,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 May 2022 11:41:23 AM,12995,14991,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,New Listings Announcements,2022-05-30 11:19:24,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 May 2022 11:19:24 AM,12994,14988,NEW LISTINGS RELATED NOTICES,59,,,createdDate,CL SYNERGY LIMITED - WITHDRAWAL OF THE INITIAL PUBLIC OFFERING OF CL SYNERGY LIMITED
2022,New Listings Announcements,2022-05-27 12:29:04,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 May 2022 12:29:04 PM,12963,14947,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)
2022,Buy-In Board Announcements,2022-05-27 11:32:31,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 May 2022 11:32:31 AM,12962,14946,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,New Listings Announcements,2022-05-26 13:59:01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,26 May 2022 01:59:01 PM,12955,14939,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"
LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)"
2022,Buy-In Board Announcements,2022-05-26 11:34:46,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,26 May 2022 11:34:46 AM,12954,14937,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,New Listings Announcements,2022-05-25 15:23:05,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,25 May 2022 03:23:05 PM,12940,14923,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)
2022,New Listings Announcements,2022-05-25 10:50:11,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,25 May 2022 10:50:11 AM,12938,14921,NEW LISTINGS RELATED NOTICES,59,,,createdDate,ALPHA FIRE SERVICES LIMITED (THE COMPANY) - INTRODUCTION
2022,New Listings Announcements,2022-05-24 12:32:42,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 May 2022 12:32:42 PM,12929,14911,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING - SUMMARY OF APPLICATIONS RECEIVED
2022,New Listings Announcements,2022-05-23 12:28:08,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,23 May 2022 12:28:08 PM,12912,14891,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)
2022,New Listings Announcements,2022-05-20 16:23:52,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 May 2022 04:23:52 PM,12893,14881,NEW LISTINGS RELATED NOTICES,59,,,createdDate,LUMINEX LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS RECEIVED)
2022,Buy-In Board Announcements,2022-05-20 11:44:30,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 May 2022 11:44:30 AM,12884,14871,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,Buy-In Board Announcements,2022-05-12 11:38:18,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,12 May 2022 11:38:18 AM,12809,14791,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,New Listings Announcements,2022-05-11 15:44:08,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,11 May 2022 03:44:08 PM,12793,14771,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"MARKET ANNOUNCEMENT - LUMINEX LIMITED – INITIAL PUBLIC OFFERING
NOTICE OF CHANGE OF SCHEDULE DATE OF THE IPO"
2022,Buy-In Board Announcements,2022-05-09 11:41:03,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 May 2022 11:41:03 AM,12776,14753,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2022,Buy-In Board Announcements,2022-05-05 11:52:06,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,05 May 2022 11:52:06 AM,12722,14703,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Apr 2026 03:21:51 PM,30776,36794,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED (“COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Apr 2026 06:56:36 PM,30757,36763,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED – INITIAL PUBLIC OFFER 2026 – RESPONSE TO CONCERNS REGARDING BASIS OF ALLOTMENT TO NON-RETAIL INVESTORS
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 Apr 2026 09:43:47 AM,30726,36722,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED - INITIAL PUBLIC OFFER 2026 -BASIS OF ALLOTMENT
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,21 Apr 2026 11:41:42 AM,30714,36710,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED-INITIAL PUBLIC OFFER 2026-FINAL FIGURES
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Apr 2026 09:56:14 AM,30626,36622,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED- INITIAL PUBLIC OFFERING-OVERSUBSCRIPTION
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 Mar 2026 07:16:09 PM,30492,36505,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"MAHINDRA IDEAL FINANCE LIMITED (“COMPANY”) – ISSUANCE OF 10,000,000 TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE, 5-YEAR DEBENTURES"
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 Mar 2026 09:11:55 PM,30429,36385,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"HAYLEYS PLC (“COMPANY”) – LISTED, RATED, UNSECURED, SENIOR, REDEEMABLE DEBENTURES"
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,26 Mar 2026 04:56:17 PM,30400,36352,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"MAHINDRA IDEAL FINANCE LIMITED (""T'HE COMPANY"") - DEBENTURE ISSUE 2026-BASIS OF ALLOTMENT"
2026,New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,26 Mar 2026 04:54:18 PM,30399,36349,NEW LISTINGS RELATED NOTICES,59,,,createdDate,MAHINDRA IDEAL FINANCE LIMITED- DEBENTURE ISSUE 2026-FINAL FIGURES
