_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2022,Buy-In Board Announcements,2022-12-30 12:09:44,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Dec 2022 12:09:44 PM,15622,18028,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-27 12:06:42,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 Dec 2022 12:06:42 PM,15592,17989,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-23 12:09:06,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,23 Dec 2022 12:09:06 PM,15568,17966,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-22 12:10:18,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 Dec 2022 12:10:18 PM,15561,17958,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-19 12:05:44,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,19 Dec 2022 12:05:44 PM,15535,17928,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-16 12:07:34,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Dec 2022 12:07:34 PM,15516,17913,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-16 12:06:30,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Dec 2022 12:06:30 PM,15515,17913,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-15 12:08:30,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Dec 2022 12:08:30 PM,15509,17907,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-02 12:19:22,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 Dec 2022 12:19:22 PM,15408,17775,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-12-01 12:27:14,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,01 Dec 2022 12:27:14 PM,15390,17751,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-11-29 12:10:58,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Nov 2022 12:10:58 PM,15367,17725,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-11-23 12:09:43,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,23 Nov 2022 12:09:43 PM,15319,17662,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-11-16 12:05:09,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Nov 2022 12:05:09 PM,15253,17593,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-11-15 12:07:27,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Nov 2022 12:07:27 PM,15245,17584,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-11-14 12:11:57,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,14 Nov 2022 12:11:57 PM,15228,17566,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-11-11 12:16:24,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,11 Nov 2022 12:16:24 PM,15210,17552,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-10-31 11:35:59,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 Oct 2022 11:35:59 AM,15108,17448,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-10-28 11:33:10,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Oct 2022 11:33:10 AM,15078,17425,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-10-19 11:38:14,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,19 Oct 2022 11:38:14 AM,15005,17347,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-10-13 11:38:21,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,13 Oct 2022 11:38:21 AM,14969,17298,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-10-11 11:36:50,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,11 Oct 2022 11:36:50 AM,14952,17272,BUY-IN BOARD DISCLOSURES,60,,createdDate
2022,Buy-In Board Announcements,2022-10-06 11:34:22,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 Oct 2022 11:34:22 AM,14922,17239,BUY-IN BOARD DISCLOSURES,60,,createdDate
