_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2023,New Listings Announcements,2023-07-20 09:32:35,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 Jul 2023 09:32:35 AM,17574,20348,NEW LISTINGS RELATED NOTICES,59,UB FINANCE COMPANY LIMITED – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES,createdDate
2023,New Listings Announcements,2023-07-18 13:07:39,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Jul 2023 01:07:39 PM,17548,20308,NEW LISTINGS RELATED NOTICES,59,"AGARAPATANA PLANTATIONS LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY 
VOTING SHARES",createdDate
2023,Buy-In Board Announcements,2023-07-12 13:07:35,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,12 Jul 2023 01:07:35 PM,17500,20254,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,New Listings Announcements,2023-07-11 15:20:37,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,11 Jul 2023 03:20:37 PM,17496,20249,NEW LISTINGS RELATED NOTICES,59,"AGARAPATANA PLANTATIONS LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY 
VOTING SHARES",createdDate
2023,New Listings Announcements,2023-07-06 15:57:37,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 Jul 2023 03:57:37 PM,17468,20210,NEW LISTINGS RELATED NOTICES,59,"UB FINANCE COMPANY LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING 
SHARES",createdDate
2023,Buy-In Board Announcements,2023-07-06 13:07:43,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 Jul 2023 01:07:43 PM,17466,20209,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-07-05 13:12:44,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,05 Jul 2023 01:12:44 PM,17451,20195,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-06-28 13:17:58,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Jun 2023 01:17:58 PM,17369,20103,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-06-27 13:08:38,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 Jun 2023 01:08:38 PM,17342,20074,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-06-23 13:11:03,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,23 Jun 2023 01:11:03 PM,17290,20013,BUY-IN BOARD DISCLOSURES,60,,createdDate
